_id,ilce_adi,mahalle_adi,hayvan_beslemede_kullanilan_urunler
203,Cihanbeyli,GÖLYAZI,"YULAF, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
204,Cihanbeyli,GÜNYÜZÜ,HAZIR YEM
205,Cihanbeyli,İNSUYU,"SAMAN, HAZIR YEM"
206,Cihanbeyli,KANDİL,"ARPA, SAMAN, HAZIR YEM"
207,Cihanbeyli,KARABAĞ,"SAMAN, HAZIR YEM"
208,Cihanbeyli,KELHASAN,"KÜSPE, SİLAJLIK MISIR, HAZIR YEM"
209,Cihanbeyli,KUŞCA,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
210,Cihanbeyli,KÜTÜKUŞAĞI,"FİĞ, SİLAJLIK MISIR, HAZIR YEM"
211,Cihanbeyli,TAŞPINAR,"FİĞ, SAMAN, HAZIR YEM"
212,Cihanbeyli,BEYLİOVA,"FİĞ, KÜSPE, ARPA, YONCA"
213,Cihanbeyli,ÇİMEN,"ARPA, HAZIR YEM"
214,Cihanbeyli,ÇÖL,"FİĞ, ARPA, YONCA, HAZIR YEM"
215,Cihanbeyli,DAMLAKUYU,"KÜSPE, HAZIR YEM"
216,Cihanbeyli,BULDUK,"BUĞDAY, ARPA, SAMAN"
217,Cihanbeyli,BÜYÜKBEŞKAVAK,"KÜSPE, ARPA, HAZIR YEM"
218,Cihanbeyli,KARATEPE,"KÜSPE, ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
219,Çumra,ARIKÖREN,"ARPA, SİLAJLIK MISIR, HAZIR YEM"
220,Çumra,DEDEMOĞLU,"ARPA, HAZIR YEM"
221,Çumra,TÜRKMENCAMİLİ,"ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
222,Çumra,A.B.HÜYÜĞÜ,"BUĞDAY, FİĞ, KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
223,Çumra,DİNEK,"FİĞ, ARPA, SAMAN, YONCA, HAZIR YEM"
224,Çumra,İÇERİÇUMRA,"KÜSPE, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
