_id,ilce_adi,mahalle_adi,tarimsal_sulama_suyu_kaynagi
374,Hadim,DEDEMLİ,ŞAHSİ KUYULAR
375,Hadim,DÜLGERLER,ŞAHSİ KUYULAR
376,Hadim,FAKILAR,ŞAHSİ KUYULAR
377,Hadim,GAZİLER,"AKARSU, YERALTI SULARI"
378,Hadim,GÖYNÜKKIŞLA,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
379,Hadim,GÜLPINAR,GÖLET
380,Hadim,İĞDEÖREN,YOK
381,Hadim,KALINAĞIL,YERALTI SULARI
382,Hadim,KAPLANLI,YERALTI SULARI
383,Hadim,GEZLEVİ,DERE
384,Hadim,KÜPLÜCE,"ŞAHSİ KUYULAR, YERALTI SULARI"
385,Hadim,ODUNCU,"AKARSU, YERALTI SULARI"
386,Hadim,SARNIÇ,YERALTI SULARI
387,Hadim,SELAHATTİN,GÖLET
388,Hadim,UMURLAR,ŞAHSİ KUYULAR
389,Hadim,YAĞCI,"AKARSU, KOOPERATİF KUYULARI"
390,Hadim,YALINÇEVRE,ŞAHSİ KUYULAR
391,Hadim,YELMEZ,GÖLET
392,Hadim,YENİKONAK,ŞAHSİ KUYULAR
393,Hadim,YUKARIEŞENLER,BARAJ
394,Halkapınar,İVRİZ,AKARSU
395,Halkapınar,BÜYÜKDOĞAN,YERALTI SULARI
396,Halkapınar,DEDELİ,YERALTI SULARI
397,Halkapınar,DELİMAHMUTLU,AKARSU
398,Halkapınar,ESKİHİSAR,KOOPERATİF KUYULARI
399,Halkapınar,KARAYUSUFLU,ŞAHSİ KUYULAR
400,Halkapınar,KAYASARAY,"YERALTI SULARI, KOOPERATİF KUYULARI"
401,Halkapınar,KÖRLÜ,YERALTI SULARI
402,Halkapınar,KÜSERE,ÇAY
403,Halkapınar,OSMANKÖSELİ,AKARSU
404,Halkapınar,SEYDİFAKILI,YERALTI SULARI
405,Halkapınar,YASSIKAYA,YERALTI SULARI
406,Halkapınar,YAYIKLI,YERALTI SULARI
407,Halkapınar,YEŞİLYURT,YERALTI SULARI
408,Halkapınar,ÇAKILLAR,ŞAHSİ KUYULAR
409,Hüyük,BAŞLAMIŞ,GÖLET
410,Hüyük,BUDAK,GÖL
411,Hüyük,BURUNSUZ,GÖLET
412,Hüyük,ÇAMLICA,YERALTI SULARI
413,Hüyük,ÇAVUŞ,GÖLET
414,Hüyük,ÇUKURKENT,GÖLET
415,Hüyük,DEĞİRMENALTI,GÖLET
416,Hüyük,GÖÇERİ,BARAJ
417,Hüyük,GÖRÜNMEZ,ŞAHSİ KUYULAR
418,Hüyük,İLMEN,GÖLET
419,Hüyük,İMRENLER,GÖLET
420,Hüyük,KIRELİ,GÖL
421,Hüyük,KÖŞK,GÖLET
422,Hüyük,MUTLU,"BARAJ, GÖLET"
423,Hüyük,PINARBAŞI,GÖLET
424,Hüyük,SELKİ,GÖL
425,Hüyük,SULUDERE,GÖLET
426,Hüyük,TOLCA,YERALTI SULARI
427,Hüyük,YENİCE,"GÖL, KANAL"
428,Ilgın,ARGITHANI,ŞAHSİ KUYULAR
429,Ilgın,BEYKONAK,"ŞAHSİ KUYULAR, GÖL"
430,Ilgın,ÇAVUŞÇUGÖL,GÖL
431,Ilgın,AĞALAR,ŞAHSİ KUYULAR
432,Ilgın,BALKI,YERALTI SULARI
433,Ilgın,BARAKMUSLU,YOK
434,Ilgın,BELEKLER,DERE
435,Ilgın,BOĞAZKENT,KOOPERATİF KUYULARI
436,Ilgın,BULCUK,GÖLET
437,Ilgın,BÜYÜKOBA,ŞAHSİ KUYULAR
438,Ilgın,ÇİĞİL,GÖLET
439,Ilgın,ÇATAK,YOK
440,Ilgın,ÇOBANKAYA,YOK
441,Ilgın,ÇÖMLEKCİ,YOK
442,Ilgın,DEREKÖY,AKARSU
443,Ilgın,DIĞRAK,YOK
444,Ilgın,DÜĞER,ŞAHSİ KUYULAR
445,Ilgın,ELDEŞ,GÖL
