,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
537,2020-01-24,00:00:00,43,41
538,2020-01-24,01:00:00,3,3
539,2020-01-24,02:00:00,2,2
540,2020-01-24,03:00:00,1,1
541,2020-01-24,04:00:00,3,3
542,2020-01-24,05:00:00,1,1
543,2020-01-24,06:00:00,75,75
544,2020-01-24,07:00:00,1141,1133
545,2020-01-24,08:00:00,1586,1567
546,2020-01-24,09:00:00,1612,1593
547,2020-01-24,10:00:00,1685,1665
548,2020-01-24,11:00:00,2042,2007
549,2020-01-24,12:00:00,2610,2577
550,2020-01-24,13:00:00,1832,1814
551,2020-01-24,14:00:00,2759,2715
552,2020-01-24,15:00:00,2380,2341
553,2020-01-24,16:00:00,2352,2330
554,2020-01-24,17:00:00,2439,2406
555,2020-01-24,18:00:00,2478,2452
556,2020-01-24,19:00:00,1937,1918
557,2020-01-24,20:00:00,1119,1107
558,2020-01-24,21:00:00,788,776
559,2020-01-24,22:00:00,636,625
560,2020-01-24,23:00:00,290,287
561,2020-01-25,00:00:00,51,51
562,2020-01-25,01:00:00,7,7
563,2020-01-25,02:00:00,1,1
564,2020-01-25,03:00:00,2,2
565,2020-01-25,05:00:00,3,3
566,2020-01-25,06:00:00,39,38
567,2020-01-25,07:00:00,787,776
568,2020-01-25,08:00:00,1135,1122
569,2020-01-25,09:00:00,1185,1173
570,2020-01-25,10:00:00,1392,1369
571,2020-01-25,11:00:00,1949,1928
572,2020-01-25,12:00:00,2657,2623
573,2020-01-25,13:00:00,2790,2740
574,2020-01-25,14:00:00,2544,2502
575,2020-01-25,15:00:00,2390,2355
576,2020-01-25,16:00:00,2466,2425
577,2020-01-25,17:00:00,2648,2615
578,2020-01-25,18:00:00,2437,2409
579,2020-01-25,19:00:00,1869,1838
580,2020-01-25,20:00:00,1151,1132
581,2020-01-25,21:00:00,752,739
582,2020-01-25,22:00:00,637,629
583,2020-01-25,23:00:00,291,291
584,2020-01-26,00:00:00,68,68
585,2020-01-26,01:00:00,4,4
586,2020-01-26,02:00:00,6,6
587,2020-01-26,03:00:00,2,2
