tarih_saat,yukleme_adedi,yukleme_yapilan_kart_adedi
2021-01-31 18:00:00,54,51
2021-01-31 19:00:00,27,27
2021-01-31 20:00:00,20,20
2021-01-31 21:00:00,21,20
2021-01-31 22:00:00,20,20
2021-01-31 23:00:00,19,19
2021-02-01 00:00:00,8,8
2021-02-01 01:00:00,1,1
2021-02-01 03:00:00,1,1
2021-02-01 04:00:00,1,1
2021-02-01 05:00:00,2,2
2021-02-01 06:00:00,123,123
2021-02-01 07:00:00,1345,1333
2021-02-01 08:00:00,1504,1495
2021-02-01 09:00:00,1398,1388
2021-02-01 10:00:00,1263,1251
2021-02-01 11:00:00,1442,1427
2021-02-01 12:00:00,1936,1918
2021-02-01 13:00:00,1804,1786
2021-02-01 14:00:00,1631,1619
2021-02-01 15:00:00,1570,1558
2021-02-01 16:00:00,1482,1459
2021-02-01 17:00:00,1464,1442
2021-02-01 18:00:00,1877,1853
2021-02-01 19:00:00,1747,1726
2021-02-01 20:00:00,644,630
2021-02-01 21:00:00,45,45
2021-02-01 22:00:00,33,33
2021-02-01 23:00:00,22,22
2021-02-02 00:00:00,4,4
2021-02-02 04:00:00,2,2
2021-02-02 05:00:00,4,4
2021-02-02 06:00:00,95,95
2021-02-02 07:00:00,811,801
2021-02-02 08:00:00,1141,1133
2021-02-02 09:00:00,974,960
2021-02-02 10:00:00,977,964
2021-02-02 11:00:00,1198,1183
2021-02-02 12:00:00,1573,1554
2021-02-02 13:00:00,1428,1415
2021-02-02 14:00:00,1360,1344
2021-02-02 15:00:00,1393,1368
2021-02-02 16:00:00,1233,1223
2021-02-02 17:00:00,1272,1263
2021-02-02 18:00:00,1494,1474
2021-02-02 19:00:00,1375,1357
2021-02-02 20:00:00,506,504
2021-02-02 21:00:00,53,49
2021-02-02 22:00:00,20,19
2021-02-02 23:00:00,29,29
2021-02-03 00:00:00,7,7
2021-02-03 01:00:00,1,1
2021-02-03 02:00:00,1,1
2021-02-03 03:00:00,3,3
2021-02-03 05:00:00,1,1
2021-02-03 06:00:00,74,73
2021-02-03 07:00:00,813,799
2021-02-03 08:00:00,1059,1045
2021-02-03 09:00:00,997,988
2021-02-03 10:00:00,1001,993
2021-02-03 11:00:00,1130,1117
2021-02-03 12:00:00,1510,1498
2021-02-03 13:00:00,1380,1364
2021-02-03 14:00:00,1399,1388
2021-02-03 15:00:00,1207,1201
2021-02-03 16:00:00,1208,1192
2021-02-03 17:00:00,1140,1126
2021-02-03 18:00:00,1495,1481
2021-02-03 19:00:00,1357,1342
2021-02-03 20:00:00,494,488
2021-02-03 21:00:00,73,71
2021-02-03 22:00:00,33,30
2021-02-03 23:00:00,22,22
2021-02-04 00:00:00,6,6
2021-02-04 01:00:00,6,6
2021-02-04 03:00:00,3,3
2021-02-04 06:00:00,57,57
2021-02-04 07:00:00,709,705
2021-02-04 08:00:00,1016,1007
2021-02-04 09:00:00,900,888
2021-02-04 10:00:00,970,962
