_id,tarih,deger,birim
378,2014-04-01T00:00:00,39615,Ton
379,2014-05-01T00:00:00,21675,Ton
380,2014-06-01T00:00:00,46040,Ton
381,2014-07-01T00:00:00,42505,Ton
382,2014-08-01T00:00:00,35725,Ton
383,2014-09-01T00:00:00,32620,Ton
384,2014-10-01T00:00:00,36545,Ton
385,2014-11-01T00:00:00,33825,Ton
386,2014-12-01T00:00:00,17980,Ton
387,2014-01-13T00:00:00,40875,Ton
388,2014-01-14T00:00:00,42245,Ton
389,2014-01-15T00:00:00,39470,Ton
390,2014-01-16T00:00:00,33165,Ton
391,2014-01-17T00:00:00,33965,Ton
392,2014-01-18T00:00:00,37550,Ton
393,2014-01-19T00:00:00,18550,Ton
394,2014-01-20T00:00:00,45915,Ton
395,2014-01-21T00:00:00,43140,Ton
396,2014-01-22T00:00:00,38190,Ton
397,2014-01-23T00:00:00,36075,Ton
398,2014-01-24T00:00:00,34770,Ton
399,2014-01-25T00:00:00,30305,Ton
400,2014-01-26T00:00:00,18265,Ton
401,2014-01-27T00:00:00,43395,Ton
402,2014-01-28T00:00:00,42690,Ton
403,2014-01-29T00:00:00,37685,Ton
404,2014-01-30T00:00:00,34625,Ton
405,2014-01-31T00:00:00,31405,Ton
406,2014-01-02T00:00:00,35970,Ton
407,2014-02-02T00:00:00,15850,Ton
408,2014-03-02T00:00:00,36930,Ton
409,2014-04-02T00:00:00,34925,Ton
410,2014-05-02T00:00:00,33160,Ton
411,2014-06-02T00:00:00,31030,Ton
412,2014-07-02T00:00:00,31190,Ton
413,2014-08-02T00:00:00,34340,Ton
414,2014-09-02T00:00:00,18385,Ton
415,2014-10-02T00:00:00,40155,Ton
416,2014-11-02T00:00:00,40710,Ton
417,2014-12-02T00:00:00,34830,Ton
418,2014-02-13T00:00:00,33455,Ton
419,2014-02-14T00:00:00,30325,Ton
420,2014-02-15T00:00:00,32125,Ton
421,2014-02-16T00:00:00,16470,Ton
422,2014-02-17T00:00:00,39940,Ton
423,2014-02-18T00:00:00,36235,Ton
424,2014-02-19T00:00:00,34915,Ton
425,2014-02-20T00:00:00,28490,Ton
426,2014-02-21T00:00:00,35710,Ton
427,2014-02-22T00:00:00,34565,Ton
428,2014-02-23T00:00:00,18095,Ton
429,2014-02-24T00:00:00,38535,Ton
430,2014-02-25T00:00:00,38160,Ton
431,2014-02-26T00:00:00,35900,Ton
432,2014-02-27T00:00:00,31835,Ton
433,2014-02-28T00:00:00,29840,Ton
434,2014-01-03T00:00:00,31720,Ton
435,2014-02-03T00:00:00,16385,Ton
436,2014-03-03T00:00:00,42540,Ton
437,2014-04-03T00:00:00,40305,Ton
438,2014-05-03T00:00:00,32210,Ton
439,2014-06-03T00:00:00,29155,Ton
440,2014-07-03T00:00:00,29585,Ton
441,2014-08-03T00:00:00,31915,Ton
442,2014-09-03T00:00:00,17065,Ton
443,2014-10-03T00:00:00,38935,Ton
444,2014-11-03T00:00:00,40690,Ton
445,2014-12-03T00:00:00,28320,Ton
446,2014-03-13T00:00:00,30640,Ton
447,2014-03-14T00:00:00,28270,Ton
448,2014-03-15T00:00:00,32235,Ton
449,2014-03-16T00:00:00,17650,Ton
450,2014-03-17T00:00:00,39560,Ton
451,2014-03-18T00:00:00,38255,Ton
452,2014-03-19T00:00:00,33360,Ton
453,2014-03-20T00:00:00,33150,Ton
454,2014-03-21T00:00:00,32000,Ton
455,2014-03-22T00:00:00,31720,Ton
456,2014-03-23T00:00:00,18695,Ton
457,2014-03-24T00:00:00,39830,Ton
458,2014-03-25T00:00:00,35530,Ton
459,2014-03-26T00:00:00,32650,Ton
460,2014-03-27T00:00:00,28440,Ton
461,2014-03-28T00:00:00,28425,Ton
