,tarih,değer (ton)
680,2014-03-11,"45205,0"
681,2014-04-11,"41570,0"
682,2014-05-11,"40110,0"
683,2014-06-11,"36220,0"
684,2014-07-11,"34485,0"
685,2014-08-11,"35745,0"
686,2014-09-11,"19215,0"
687,2014-10-11,"42255,0"
688,2014-11-11,"41920,0"
689,2014-12-11,"36430,0"
690,2014-11-13,"32600,0"
691,2014-11-14,"34710,0"
692,2014-11-15,"34655,0"
693,2014-11-16,"19845,0"
694,2014-11-17,"50795,0"
695,2014-11-18,"43635,0"
696,2014-11-19,"36520,0"
697,2014-11-20,"33590,0"
698,2014-11-21,"39170,0"
699,2014-11-22,"34760,0"
700,2014-11-23,"19895,0"
701,2014-11-24,"46170,0"
702,2014-11-25,"42375,0"
703,2014-11-26,"37685,0"
704,2014-11-27,"38005,0"
705,2014-11-28,"35380,0"
706,2014-11-29,"34945,0"
707,2014-11-30,"18255,0"
708,2014-01-12,"48585,0"
709,2014-02-12,"48215,0"
710,2014-03-12,"35735,0"
711,2014-04-12,"41845,0"
712,2014-05-12,"38905,0"
713,2014-06-12,"37365,0"
714,2014-07-12,"19005,0"
715,2014-08-12,"50160,0"
716,2014-09-12,"42530,0"
717,2014-10-12,"41495,0"
718,2014-11-12,"37625,0"
719,2014-12-12,"36045,0"
720,2014-12-13,"33195,0"
721,2014-12-14,"12695,0"
722,2014-12-15,"49685,0"
723,2014-12-16,"42165,0"
724,2014-12-17,"38460,0"
725,2014-12-18,"34615,0"
726,2014-12-19,"29795,0"
727,2014-12-20,"36375,0"
728,2014-12-21,"15585,0"
729,2014-12-22,"40850,0"
730,2014-12-23,"39030,0"
731,2014-12-24,"36635,0"
732,2014-12-25,"33875,0"
733,2014-12-26,"33460,0"
734,2014-12-27,"34400,0"
735,2014-12-28,"13675,0"
736,2014-12-29,"45565,0"
737,2014-12-30,"43205,0"
738,2014-12-31,"37810,0"
739,2015-01-01,"32810,0"
740,2015-02-01,"35935,0"
741,2015-03-01,"35710,0"
742,2015-04-01,"12770,0"
743,2015-05-01,"44795,0"
744,2015-06-01,"24415,0"
745,2015-07-01,"11875,0"
746,2015-08-01,"34080,0"
747,2015-09-01,"25580,0"
748,2015-10-01,"28330,0"
749,2015-11-01,"13700,0"
750,2015-12-01,"37215,0"
751,2015-01-13,"60420,0"
752,2015-01-14,"44520,0"
753,2015-01-15,"44540,0"
754,2015-01-16,"40665,0"
755,2015-01-17,"38240,0"
756,2015-01-18,"14185,0"
757,2015-01-19,"46520,0"
758,2015-01-20,"41960,0"
759,2015-01-21,"33770,0"
760,2015-01-22,"36050,0"
761,2015-01-23,"34500,0"
762,2015-01-24,"34730,0"
763,2015-01-25,"12480,0"
764,2015-01-26,"46925,0"
765,2015-01-27,"43340,0"
766,2015-01-28,"41805,0"
767,2015-01-29,"31890,0"
768,2015-01-30,"34175,0"
769,2015-01-31,"31470,0"
770,2015-01-02,"12205,0"
771,2015-02-02,"40575,0"
772,2015-03-02,"37945,0"
773,2015-04-02,"36520,0"
774,2015-05-02,"29430,0"
775,2015-06-02,"30045,0"
776,2015-07-02,"35195,0"
777,2015-08-02,"15790,0"
778,2015-09-02,"45465,0"
779,2015-10-02,"42900,0"
780,2015-11-02,"30915,0"
781,2015-12-02,"36125,0"
782,2015-02-13,"35990,0"
783,2015-02-14,"33005,0"
784,2015-02-15,"12280,0"
785,2015-02-16,"43410,0"
786,2015-02-17,"39490,0"
787,2015-02-18,"27345,0"
788,2015-02-19,"32780,0"
789,2015-02-20,"33020,0"
