_id,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
543,2019-01-24T00:00:00,11,2292,2262
544,2019-01-24T00:00:00,12,2885,2863
545,2019-01-24T00:00:00,13,2579,2549
546,2019-01-24T00:00:00,14,2393,2362
547,2019-01-24T00:00:00,15,2330,2290
548,2019-01-24T00:00:00,16,2476,2444
549,2019-01-24T00:00:00,17,2704,2671
550,2019-01-24T00:00:00,18,2100,2086
551,2019-01-24T00:00:00,19,1435,1416
552,2019-01-24T00:00:00,20,897,888
553,2019-01-24T00:00:00,21,674,661
554,2019-01-24T00:00:00,22,519,511
555,2019-01-24T00:00:00,23,266,264
556,2019-01-25T00:00:00,0,32,32
557,2019-01-25T00:00:00,1,4,4
558,2019-01-25T00:00:00,2,3,3
559,2019-01-25T00:00:00,3,2,2
560,2019-01-25T00:00:00,5,1,1
561,2019-01-25T00:00:00,6,63,63
562,2019-01-25T00:00:00,7,883,877
563,2019-01-25T00:00:00,8,1583,1566
564,2019-01-25T00:00:00,9,1620,1605
565,2019-01-25T00:00:00,10,1686,1674
566,2019-01-25T00:00:00,11,2221,2193
567,2019-01-25T00:00:00,12,2645,2612
568,2019-01-25T00:00:00,13,1874,1845
569,2019-01-25T00:00:00,14,2801,2765
570,2019-01-25T00:00:00,15,2522,2498
571,2019-01-25T00:00:00,16,2564,2541
572,2019-01-25T00:00:00,17,2617,2591
573,2019-01-25T00:00:00,18,2607,2568
574,2019-01-25T00:00:00,19,1894,1871
575,2019-01-25T00:00:00,20,1158,1144
576,2019-01-25T00:00:00,21,756,750
577,2019-01-25T00:00:00,22,587,582
578,2019-01-25T00:00:00,23,357,349
579,2019-01-26T00:00:00,0,49,49
580,2019-01-26T00:00:00,1,7,7
581,2019-01-26T00:00:00,2,2,2
582,2019-01-26T00:00:00,3,1,1
583,2019-01-26T00:00:00,6,57,57
584,2019-01-26T00:00:00,7,638,631
585,2019-01-26T00:00:00,8,1125,1123
586,2019-01-26T00:00:00,9,1245,1228
587,2019-01-26T00:00:00,10,1376,1366
588,2019-01-26T00:00:00,11,2061,2031
589,2019-01-26T00:00:00,12,2700,2671
590,2019-01-26T00:00:00,13,2450,2430
591,2019-01-26T00:00:00,14,2419,2389
592,2019-01-26T00:00:00,15,2272,2238
593,2019-01-26T00:00:00,16,2496,2465
594,2019-01-26T00:00:00,17,2535,2499
595,2019-01-26T00:00:00,18,2127,2097
596,2019-01-26T00:00:00,19,1278,1255
597,2019-01-26T00:00:00,20,898,887
598,2019-01-26T00:00:00,21,653,646
599,2019-01-26T00:00:00,22,527,522
600,2019-01-26T00:00:00,23,348,344
601,2019-01-27T00:00:00,0,33,33
602,2019-01-27T00:00:00,1,2,2
603,2019-01-27T00:00:00,3,2,2
604,2019-01-27T00:00:00,4,1,1
605,2019-01-27T00:00:00,5,3,3
606,2019-01-27T00:00:00,6,21,21
607,2019-01-27T00:00:00,7,165,162
608,2019-01-27T00:00:00,8,431,427
609,2019-01-27T00:00:00,9,611,601
610,2019-01-27T00:00:00,10,787,780
611,2019-01-27T00:00:00,11,1293,1280
612,2019-01-27T00:00:00,12,2059,2030
