_id,tarih,saat,bakiye_yukleme_adedi,bakiye_yuklenen_kart_adedi
499,2020-01-22T00:00:00,10,1835,1806
500,2020-01-22T00:00:00,11,2411,2379
501,2020-01-22T00:00:00,12,3120,3088
502,2020-01-22T00:00:00,13,2826,2786
503,2020-01-22T00:00:00,14,2669,2634
504,2020-01-22T00:00:00,15,2397,2353
505,2020-01-22T00:00:00,16,2554,2519
506,2020-01-22T00:00:00,17,2568,2536
507,2020-01-22T00:00:00,18,2495,2470
508,2020-01-22T00:00:00,19,2011,1987
509,2020-01-22T00:00:00,20,1153,1134
510,2020-01-22T00:00:00,21,758,749
511,2020-01-22T00:00:00,22,555,550
512,2020-01-22T00:00:00,23,234,233
513,2020-01-23T00:00:00,0,60,56
514,2020-01-23T00:00:00,2,2,2
515,2020-01-23T00:00:00,3,2,2
516,2020-01-23T00:00:00,4,2,2
517,2020-01-23T00:00:00,5,2,2
518,2020-01-23T00:00:00,6,88,88
519,2020-01-23T00:00:00,7,1174,1162
520,2020-01-23T00:00:00,8,1703,1688
521,2020-01-23T00:00:00,9,1661,1639
522,2020-01-23T00:00:00,10,1935,1913
523,2020-01-23T00:00:00,11,2538,2495
524,2020-01-23T00:00:00,12,3261,3213
525,2020-01-23T00:00:00,13,2771,2731
526,2020-01-23T00:00:00,14,2570,2529
527,2020-01-23T00:00:00,15,2408,2374
528,2020-01-23T00:00:00,16,2432,2397
529,2020-01-23T00:00:00,17,2459,2430
530,2020-01-23T00:00:00,18,2514,2492
531,2020-01-23T00:00:00,19,1834,1809
532,2020-01-23T00:00:00,20,1082,1068
533,2020-01-23T00:00:00,21,762,751
534,2020-01-23T00:00:00,22,535,531
535,2020-01-23T00:00:00,23,237,234
536,2020-01-24T00:00:00,0,41,39
537,2020-01-24T00:00:00,1,3,3
538,2020-01-24T00:00:00,2,2,2
539,2020-01-24T00:00:00,3,1,1
540,2020-01-24T00:00:00,4,3,3
541,2020-01-24T00:00:00,5,1,1
542,2020-01-24T00:00:00,6,74,74
543,2020-01-24T00:00:00,7,1127,1119
544,2020-01-24T00:00:00,8,1565,1546
545,2020-01-24T00:00:00,9,1603,1584
546,2020-01-24T00:00:00,10,1673,1653
547,2020-01-24T00:00:00,11,2027,1993
548,2020-01-24T00:00:00,12,2597,2564
549,2020-01-24T00:00:00,13,1824,1807
550,2020-01-24T00:00:00,14,2742,2699
551,2020-01-24T00:00:00,15,2369,2330
552,2020-01-24T00:00:00,16,2338,2316
553,2020-01-24T00:00:00,17,2424,2391
554,2020-01-24T00:00:00,18,2457,2432
555,2020-01-24T00:00:00,19,1924,1905
556,2020-01-24T00:00:00,20,1108,1096
557,2020-01-24T00:00:00,21,782,770
558,2020-01-24T00:00:00,22,630,619
559,2020-01-24T00:00:00,23,290,287
560,2020-01-25T00:00:00,0,51,51
561,2020-01-25T00:00:00,1,7,7
562,2020-01-25T00:00:00,2,1,1
563,2020-01-25T00:00:00,3,2,2
564,2020-01-25T00:00:00,5,3,3
565,2020-01-25T00:00:00,6,39,38
566,2020-01-25T00:00:00,7,776,765
567,2020-01-25T00:00:00,8,1122,1109
568,2020-01-25T00:00:00,9,1172,1160
569,2020-01-25T00:00:00,10,1386,1364
570,2020-01-25T00:00:00,11,1940,1919
571,2020-01-25T00:00:00,12,2646,2612
572,2020-01-25T00:00:00,13,2779,2730
573,2020-01-25T00:00:00,14,2535,2493
574,2020-01-25T00:00:00,15,2378,2345
575,2020-01-25T00:00:00,16,2453,2413
