ilce,mahalle,mahalle_turu
EREĞLI,BOYACIALI,MAHALLE
EREĞLI,CAHI,MAHALLE
EREĞLI,CAMIKEBIR,MAHALLE
EREĞLI,CINLER,MAHALLE
EREĞLI,ÇAYHAN,MAHALLE
EREĞLI,ÇÖMLEKÇI,MAHALLE
EREĞLI,DALMAZ,MAHALLE
EREĞLI,DOGUALAGÖZLÜ,MAHALLE
EREĞLI,ETI,MAHALLE
EREĞLI,FATIH,MAHALLE
EREĞLI,GÜLBAHÇE,MAHALLE
EREĞLI,HACIMUSTAFA,MAHALLE
EREĞLI,HACIMUTAHIR,MAHALLE
EREĞLI,HAMIDIYE,MAHALLE
EREĞLI,HIDIRLI,MAHALLE
EREĞLI,HORTU,MAHALLE
EREĞLI,KAZANCI,MAHALLE
EREĞLI,KUTÖREN,MAHALLE
EREĞLI,MEHMET AKIF,MAHALLE
EREĞLI,MIMAR SINAN,MAHALLE
EREĞLI,NAMIK KEMAL,MAHALLE
EREĞLI,ORHANGAZI,MAHALLE
EREĞLI,PIRÖMER,MAHALLE
EREĞLI,SELÇUKLU,MAHALLE
EREĞLI,SÜMER,MAHALLE
EREĞLI,ŞINASI,MAHALLE
EREĞLI,TALATPAŞA,MAHALLE
EREĞLI,TOROS,MAHALLE
EREĞLI,TÜRBE,MAHALLE
EREĞLI,ÜÇGÖZ,MAHALLE
EREĞLI,YENIBAĞLAR,MAHALLE
EREĞLI,YILDIRIMBEYAZIT,MAHALLE
EREĞLI,YUNUSLU,MAHALLE
EREĞLI,ZENGEN,MAHALLE
EREĞLI,ZIYA GÖKALP,MAHALLE
EREĞLI,500 EVLER,MAHALLE
EREĞLI,ACIKUYU,KIRSAL MAHALLE                   
EREĞLI,ACIPINAR,KIRSAL MAHALLE                   
EREĞLI,ADABAĞ,KIRSAL MAHALLE                   
EREĞLI,AKHÜYÜK,KIRSAL MAHALLE                   
EREĞLI,ALHAN,KIRSAL MAHALLE                   
