_id,Ilce,mahalle,mahalle_turu
431,EREÐLI,ORHANGAZI,MAHALLE
432,EREÐLI,PIRÖMER,MAHALLE
433,EREÐLI,SELÇUKLU,MAHALLE
434,EREÐLI,SÜMER,MAHALLE
435,EREÐLI,ÞINASI,MAHALLE
436,EREÐLI,TALATPAÞA,MAHALLE
437,EREÐLI,TOROS,MAHALLE
438,EREÐLI,TÜRBE,MAHALLE
439,EREÐLI,ÜÇGÖZ,MAHALLE
440,EREÐLI,YENIBAÐLAR,MAHALLE
441,EREÐLI,YILDIRIMBEYAZIT,MAHALLE
442,EREÐLI,YUNUSLU,MAHALLE
443,EREÐLI,ZENGEN,MAHALLE
444,EREÐLI,ZIYA GÖKALP,MAHALLE
445,EREÐLI,500 EVLER,MAHALLE
446,EREÐLI,ACIKUYU,KIRSALMAHALLE                   
447,EREÐLI,ACIPINAR,KIRSALMAHALLE                   
448,EREÐLI,ADABAÐ,KIRSALMAHALLE                   
449,EREÐLI,AKHÜYÜK,KIRSALMAHALLE                   
450,EREÐLI,ALHAN,KIRSALMAHALLE                   
451,EREÐLI,AÞAÐIGÖNDELEN,KIRSALMAHALLE                   
452,EREÐLI,AÞIKLAR,KIRSALMAHALLE                   
453,EREÐLI,BAHÇELI,KIRSALMAHALLE                   
454,EREÐLI,BELCEAÐAÇ,KIRSALMAHALLE                   
455,EREÐLI,BEYKÖY,KIRSALMAHALLE                   
456,EREÐLI,BEYÖREN,KIRSALMAHALLE                   
457,EREÐLI,BULGURLUK,KIRSALMAHALLE                   
458,EREÐLI,BURHANIYE,KIRSALMAHALLE                   
459,EREÐLI,BÜYÜKDEDE,KIRSALMAHALLE                   
460,EREÐLI,ÇAKMAK,KIRSALMAHALLE                   
461,EREÐLI,ÇILLER,KIRSALMAHALLE                   
462,EREÐLI,ÇIMENCIK,KIRSALMAHALLE                   
463,EREÐLI,GAYBI,KIRSALMAHALLE                   
464,EREÐLI,GÖKÇEYAZI,KIRSALMAHALLE                   
465,EREÐLI,GÖKTÖME,KIRSALMAHALLE                   
466,EREÐLI,HACIMEMIÞ,KIRSALMAHALLE                   
467,EREÐLI,KAMIÞLIKUYU,KIRSALMAHALLE                   
468,EREÐLI,KARABURUN,KIRSALMAHALLE                   
469,EREÐLI,KARGACI,KIRSALMAHALLE                   
